sample_id,source,original_index,text,true_label,true_label_name,pred_label,pred_label_name,target_class,target_class_name,outcome,neg_prob,pos_prob,confidence,original_len,tokens
test_22264,test,22264,욕을 바가지고 퍼먹어도 모잘라 호수로 먹는다,0,negative,0,negative,0,negative,TN,0.5187839865684509,0.48121607303619385,0.5187839865684509,10,욕 을 바가지 고 퍼먹어 모 자르다 호수 로 먹다
test_15543,test,15543,빡빡이 빼고 연기 잘하네 ㄷㄷ 코끼리 연기쩌러,1,positive,0,negative,0,negative,FN,0.5348660945892334,0.4651338458061218,0.5348660945892334,7,빡빡이 빼다 연기 ㄷㄷ 코끼리 연기 쩌러
test_30048,test,30048,이게 뭐야? 질질 끌다가 황급히 종영한 듯한 삼류 드라마 같은 전개는?,0,negative,0,negative,0,negative,TN,0.9837669134140015,0.01623314619064331,0.9837669134140015,15,게 뭐 야 ? 질질 끄다 황 급하다 종영 듯 삼류 드라마 같다 전개 ?
test_43365,test,43365,엥 이여자 자기국민 죽여달라고 외국군인 불여들인 여자아님?,0,negative,0,negative,0,negative,TN,0.6734251379966736,0.3265748620033264,0.6734251379966736,16,엥 여자 자기 국민 죽이다 달라 고 외국 군인 불 여 들이다 여 자아 님 ?
test_36983,test,36983,"중반부부터 결말이 보이는 스토리, But CG의 화려함이나 코믹한 요소는 전작과 동일",1,positive,0,negative,0,negative,FN,0.7904949188232422,0.20950505137443542,0.7904949188232422,14,"중반 부 부터 결말 보이다 스토리 , But CG 화려하다 코믹 요소 전작 동일"
test_31700,test,31700,인류에게 그 무거운 영화를 내보인 그들이 써비스로 주는 제대로 즐거운 영화,1,positive,1,positive,1,positive,TP,0.031279221177101135,0.9687208533287048,0.9687208533287048,13,인류 에게 그 무겁다 영화 내보이다 그 써비스 로 주다 제대로 즐겁다 영화
test_4856,test,4856,오유에서 왔어요!,0,negative,0,negative,0,negative,TN,0.8597787618637085,0.14022120833396912,0.8597787618637085,4,오유 에서 오다 !
test_7850,test,7850,프랑스 영화만의 깨알같은 코미디와 매력.,1,positive,1,positive,1,positive,TP,0.023309916257858276,0.9766901135444641,0.9766901135444641,8,프랑스 영화 만의 깨알 같다 코미디 매력 .
test_11908,test,11908,웬만하면안쓰려고했는데 봉준호감독 감많이 떨어졌다 ㅋ,0,negative,0,negative,0,negative,TN,0.7616277933120728,0.23837222158908844,0.7616277933120728,8,웬만하다 쓰다 봉준호 감독 감 많이 떨어지다 ㅋ
test_34941,test,34941,제시가 불쌍하다.. 근데 이거 책이랑 많이 다르다... 책이 오리지날인데,1,positive,0,negative,0,negative,FN,0.5546417832374573,0.4453582167625427,0.5546417832374573,13,제시 불쌍하다 .. 근데 거 책 이랑 많이 다르다 ... 책 오리 지나다
test_23264,test,23264,음식가지고 장난치는 년놈들은 사지를 찢어 본보기로 삼아야한다,0,negative,0,negative,0,negative,TN,0.9556350111961365,0.04436503350734711,0.9556350111961365,12,음식 가지 고 장난 치다 년놈 사지 찢다 본보기 로 삼다 야하다
test_7707,test,7707,비추~ 보면후회 쓰레기,0,negative,0,negative,0,negative,TN,0.9916834831237793,0.00831648986786604,0.9916834831237793,5,비추다 ~ 보다 후회 쓰레기
test_3509,test,3509,존.나 재미없다.,0,negative,0,negative,0,negative,TN,0.995613694190979,0.004386312328279018,0.995613694190979,5,존 . 나 재미없다 .
test_4154,test,4154,애슐리 쥬드의 우아한 매력 .,0,negative,1,positive,1,positive,FP,0.3354916274547577,0.6645082831382751,0.6645082831382751,5,애슐리 쥬드 우아하다 매력 .
test_26892,test,26892,주말에 온가족이 함께 봤습니다 ㅎ ㅎ 볼거리 많고 재미있어요. 엘르패닝 어릴때 모습 신선하고 좋았네요 ㅎ,1,positive,1,positive,1,positive,TP,0.0005560746067203581,0.9994439482688904,0.9994439482688904,19,주말 온 가족 함께 보다 ㅎ ㅎ 볼거리 많다 재미있다 . 엘르 패닝 어리다 때 모습 신선하다 좋다 ㅎ
test_30826,test,30826,결말 되게맘에든다 남자가 여자에게 끝내 못닿고 여자와 같은 길을 것이라는 결말... 생각할게 많은 영화였음!,1,positive,1,positive,1,positive,TP,0.10747244209051132,0.8925275802612305,0.8925275802612305,24,결말 되게 맘 에든 다 남자 여자 에게 끝내 못 닿다 여자 같다 길 을 것 이라는 결말 ... 생각 많다 영화 이다 !
